False Positive Rate,True Positive Rate,Model
0.7884615384615384,0.5869565217391305,Elastic Net
0.8076923076923077,0.5869565217391305,Elastic Net
0.8076923076923077,0.6413043478260869,Elastic Net
0.9230769230769231,0.6413043478260869,Elastic Net
0.9230769230769231,0.6847826086956522,Elastic Net
0.9423076923076923,0.6847826086956522,Elastic Net
0.9423076923076923,0.782608695652174,Elastic Net
0.9615384615384616,0.782608695652174,Elastic Net
0.9615384615384616,0.8586956521739131,Elastic Net
0.9807692307692307,0.8586956521739131,Elastic Net
0.9807692307692307,0.8804347826086957,Elastic Net
1.0,0.8804347826086957,Elastic Net
1.0,1.0,Elastic Net
0.0,0.0,SVM
0.019230769230769232,0.0,SVM
0.11538461538461539,0.0,SVM
0.11538461538461539,0.021739130434782608,SVM
0.1346153846153846,0.021739130434782608,SVM
0.1346153846153846,0.05434782608695652,SVM
0.15384615384615385,0.05434782608695652,SVM
0.15384615384615385,0.06521739130434782,SVM
0.17307692307692307,0.06521739130434782,SVM
0.17307692307692307,0.07608695652173914,SVM
0.19230769230769232,0.07608695652173914,SVM
0.19230769230769232,0.08695652173913043,SVM
0.21153846153846154,0.08695652173913043,SVM
0.21153846153846154,0.09782608695652174,SVM
0.25,0.09782608695652174,SVM
0.25,0.10869565217391304,SVM
0.2692307692307692,0.10869565217391304,SVM
0.2692307692307692,0.11956521739130435,SVM
0.3269230769230769,0.11956521739130435,SVM
0.3269230769230769,0.16304347826086957,SVM
0.34615384615384615,0.16304347826086957,SVM
0.34615384615384615,0.18478260869565216,SVM
0.36538461538461536,0.18478260869565216,SVM
0.36538461538461536,0.21739130434782608,SVM
0.4423076923076923,0.21739130434782608,SVM
0.4423076923076923,0.22826086956521738,SVM
0.46153846153846156,0.22826086956521738,SVM
0.46153846153846156,0.2608695652173913,SVM
0.5384615384615384,0.2608695652173913,SVM
0.5384615384615384,0.2826086956521739,SVM
0.5576923076923077,0.2826086956521739,SVM
0.5576923076923077,0.30434782608695654,SVM
0.5961538461538461,0.30434782608695654,SVM
